,Country,Mental Health,Country Code,Total Pop,Companies,primarySE,secondarySE,tertiarySE,GDP,Young,No,Country or Area,M49 Code,Region 1,Region 2,Continent,MH size,School Enrollment,Schools,Universities
0,Afghanistan,0.625,AFG,38041754.0,21213.0,106.701080322266,55.4252090454102,10.5625200271606,494.179349886029,0.42472271388958605,1,Afghanistan,4,Southern Asia,,Asia,238.0,0.8106314468383808,21829.0,213.0
1,Albania,10.638000000000002,ALB,2854191.0,23991.0,119.329742431641,97.6848678588867,65.7829666137695,5396.21586434732,0.17399564097126,3,Albania,8,Southern Europe,,Europe,304.0,1.0850730514526383,898.0,41.0
2,Angola,0.9180000000000001,AGO,31825295.0,0.0,142.744094848633,50.6714782714844,9.33625984191895,2177.79901475964,0.46622025027576297,7,Angola,24,Middle Africa,Sub-Saharan Africa,Africa,292.0,0.9670778656005871,23915.0,173.0
3,Antigua and Barbuda,12.009,ATG,97118.0,2355.0,127.596000671387,118.127052307129,24.8302593231201,17376.6496765004,0.21954735476430698,10,Antigua and Barbuda,28,Caribbean,Latin America and the Caribbean,North America,12.0,1.22861526489258,44.0,1.0
4,Argentina,244.277,ARG,44938712.0,37752.0,118.593460083008,108.733596801758,95.4479064941406,10076.3552409481,0.24595525878271102,11,Argentina,32,South America,Latin America and the Caribbean,South America,109775.0,1.1366352844238299,20939.0,1319.0
5,Armenia,16.147,ARM,2957731.0,39698.0,133.571487426758,104.713317871094,54.5704803466797,4604.64632355695,0.207659520084822,12,Armenia,51,Western Asia,,Asia,478.0,1.1914240264892602,1220.0,42.0
6,Australia,207.143,AUS,25364307.0,2037082.0,112.326667785645,157.167663574219,120.965713500977,54875.2859563351,0.19275446711167402,14,Australia,36,Australia and New Zealand,,Oceania,52540.0,1.3474716567993201,10980.0,739.0
7,Azerbaijan,11.448,AZE,10023318.0,78584.0,120.91886138916,96.0417327880859,35.2484397888184,4805.75371765917,0.234419198468747,16,Azerbaijan,31,Western Asia,,Asia,1147.0,1.0848029708862295,4248.0,104.0
8,Bahrain,36.081999999999994,BHR,1641172.0,18015.0,115.414909362793,106.128356933594,60.315860748291,23552.3799480773,0.18718696151286998,18,Bahrain,48,Western Asia,,Asia,592.0,1.107716331481935,567.0,23.0
9,Bangladesh,1.1270000000000002,BGD,163046161.0,27761.0,119.556449890137,74.3600769042969,24.0168895721436,2154.22681857606,0.272143653845367,19,Bangladesh,50,Southern Asia,,Asia,1838.0,0.9695826339721695,71704.0,1332.0
