Location,Indicator,Period,First Tooltip
Afghanistan,"Psychologists working in mental health sector (per 100,000)",2016,0.3
Albania,"Psychologists working in mental health sector (per 100,000)",2016,1.23
Angola,"Psychologists working in mental health sector (per 100,000)",2016,0.18
Argentina,"Psychologists working in mental health sector (per 100,000)",2016,222.6
Armenia,"Psychologists working in mental health sector (per 100,000)",2016,0.79
Australia,"Psychologists working in mental health sector (per 100,000)",2015,103
Azerbaijan,"Psychologists working in mental health sector (per 100,000)",2016,1.16
Bahrain,"Psychologists working in mental health sector (per 100,000)",2017,1.24
Bangladesh,"Psychologists working in mental health sector (per 100,000)",2016,0.12
Belarus,"Psychologists working in mental health sector (per 100,000)",2016,5.51
Belgium,"Psychologists working in mental health sector (per 100,000)",2013,10.46
Belize,"Psychologists working in mental health sector (per 100,000)",2016,1.11
Bosnia and Herzegovina,"Psychologists working in mental health sector (per 100,000)",2015,1.53
Brazil,"Psychologists working in mental health sector (per 100,000)",2016,12.37
Brunei Darussalam,"Psychologists working in mental health sector (per 100,000)",2016,5.03
Bulgaria,"Psychologists working in mental health sector (per 100,000)",2016,1.87
Burkina Faso,"Psychologists working in mental health sector (per 100,000)",2016,0.022
Burundi,"Psychologists working in mental health sector (per 100,000)",2017,0.49
Cambodia,"Psychologists working in mental health sector (per 100,000)",2016,7.09
Canada,"Psychologists working in mental health sector (per 100,000)",2017,48.74
Comoros,"Psychologists working in mental health sector (per 100,000)",2017,0.64
Congo,"Psychologists working in mental health sector (per 100,000)",2016,0.02
Cook Islands,"Psychologists working in mental health sector (per 100,000)",2016,11.46
Costa Rica,"Psychologists working in mental health sector (per 100,000)",2016,142
Croatia,"Psychologists working in mental health sector (per 100,000)",2016,4.37
Cuba,"Psychologists working in mental health sector (per 100,000)",2016,31.06
Czechia,"Psychologists working in mental health sector (per 100,000)",2015,2.52
Dominican Republic,"Psychologists working in mental health sector (per 100,000)",2016,7.6
Ecuador,"Psychologists working in mental health sector (per 100,000)",2016,7.66
Egypt,"Psychologists working in mental health sector (per 100,000)",2016,0.26
El Salvador,"Psychologists working in mental health sector (per 100,000)",2016,2.08
Equatorial Guinea,"Psychologists working in mental health sector (per 100,000)",2017,0.43
Eritrea,"Psychologists working in mental health sector (per 100,000)",2016,0.083
Estonia,"Psychologists working in mental health sector (per 100,000)",2016,6.46
Eswatini,"Psychologists working in mental health sector (per 100,000)",2017,0.38
Ethiopia,"Psychologists working in mental health sector (per 100,000)",2017,0.046
Fiji,"Psychologists working in mental health sector (per 100,000)",2016,0.56
Finland,"Psychologists working in mental health sector (per 100,000)",2017,109.5
France,"Psychologists working in mental health sector (per 100,000)",2017,48.7
Gabon,"Psychologists working in mental health sector (per 100,000)",2016,0.78
Georgia,"Psychologists working in mental health sector (per 100,000)",2016,2.33
Germany,"Psychologists working in mental health sector (per 100,000)",2015,49.55
Ghana,"Psychologists working in mental health sector (per 100,000)",2016,0.065
Greece,"Psychologists working in mental health sector (per 100,000)",2016,8.78
Guatemala,"Psychologists working in mental health sector (per 100,000)",2016,46.15
Guinea,"Psychologists working in mental health sector (per 100,000)",2016,0.008
Guinea-Bissau,"Psychologists working in mental health sector (per 100,000)",2016,0.11
Guyana,"Psychologists working in mental health sector (per 100,000)",2016,0
Haiti,"Psychologists working in mental health sector (per 100,000)",2016,0.56
Honduras,"Psychologists working in mental health sector (per 100,000)",2014,0.62
Hungary,"Psychologists working in mental health sector (per 100,000)",2016,2.48
India,"Psychologists working in mental health sector (per 100,000)",2016,0.069
Indonesia,"Psychologists working in mental health sector (per 100,000)",2016,0.17
Iran (Islamic Republic of),"Psychologists working in mental health sector (per 100,000)",2017,5.17
Iraq,"Psychologists working in mental health sector (per 100,000)",2017,0.11
Israel,"Psychologists working in mental health sector (per 100,000)",2016,88.09
Italy,"Psychologists working in mental health sector (per 100,000)",2015,3.8
Jamaica,"Psychologists working in mental health sector (per 100,000)",2015,0.38
Japan,"Psychologists working in mental health sector (per 100,000)",2016,3.04
Jordan,"Psychologists working in mental health sector (per 100,000)",2016,1.27
Kyrgyzstan,"Psychologists working in mental health sector (per 100,000)",2016,0.41
Lebanon,"Psychologists working in mental health sector (per 100,000)",2015,3.3
Lithuania,"Psychologists working in mental health sector (per 100,000)",2016,15.86
